id,user_name,type_action,type_search,mode_vector,len_vector,mean_time,std_time,mean_compare,std_compare
60,aline,remove,LinearSearch,Arranjos Quase Ordenados,100000,0.05894043172243837,0.20839813112409042,1.0,0.0
61,aline,remove,LinearSearch,Arranjos Ordenados (DESC),100000,0.05866795531946112,0.2082127002449879,1.0,0.0
62,aline,remove,LinearSearch,Arranjos Ordenados (ASC),100000,0.05972629568861208,0.209296278213817,1.0,0.0
63,aline,remove,LinearSearch,Arranjos Desordenados,100000,0.06947170330323027,0.218403680989548,1.0,0.0
0,aline,insert,AATree,Arranjos Ordenados (ASC),100,1.4657500000009316e-06,1.0694524453305278e-06,103.67,37.463532436574404
1,aline,insert,AATree,Arranjos Desordenados,100,3.113330000003023e-06,1.6810256088431626e-05,73.96,25.35681527337534
2,aline,search,AATree,Arranjos Ordenados (ASC),100,1.147879999995327e-06,6.085316203226438e-07,16.58,4.221589532607141
3,aline,insert,AATree,Arranjos Ordenados (DESC),10,1.894000000013385e-06,1.8206515927400465e-06,21.7,10.934654391733954
4,aline,remove,AATree,Arranjos Ordenados (ASC),100,1.7879500000050896e-06,1.334405102389115e-06,36.24,17.54481707116395
5,aline,insert,AATree,Arranjos Ordenados (ASC),10000,7.020455900000111e-06,0.00020657680190601786,399.8196,93.97533821306112
6,aline,insert,AATree,Arranjos Ordenados (ASC),10,4.6847999999932725e-06,9.821254138058067e-06,30.2,16.43032426811947
7,aline,insert,AATree,Arranjos Desordenados,10,2.06699999999449e-06,2.497035931745038e-06,26.0,15.231546211727817
8,aline,insert,AATree,Arranjos Ordenados (DESC),100,2.3320900000017854e-06,3.419586846964885e-06,64.48,20.874555581067366
9,aline,insert,AATree,Arranjos Ordenados (DESC),10000,6.453597500000674e-06,0.00019572742432336318,217.4245,40.82796580812229
10,aline,search,AATree,Arranjos Ordenados (ASC),10000,4.595395499999078e-06,0.00018298628125552747,36.4121,4.951012506799417
11,aline,insert,AATree,Arranjos Ordenados (ASC),1000,8.78414199999994e-06,0.0002119356547845758,228.765,65.29802146012241
12,aline,insert,AATree,Arranjos Ordenados (DESC),1000,2.7490290000001804e-06,2.5039792487619055e-06,128.435,29.355775182006973
13,aline,search,AATree,Arranjos Desordenados,100,1.6950600000009697e-06,7.912535230820581e-07,16.79,4.4159833662400825
14,aline,search,AATree,Arranjos Ordenados (DESC),10000,2.333998499999623e-06,5.2686230553678135e-05,36.0893,4.463128662916427
15,aline,remove,AATree,Arranjos Ordenados (ASC),10000,2.2632119000035365e-06,5.230524700866953e-05,62.9116,20.760503011452514
16,aline,insert,AATree,Arranjos Quase Ordenados,100,3.011930000000884e-06,5.972040397570256e-06,103.17,37.45571256885128
17,aline,insert,AATree,Arranjos Quase Ordenados,10000,6.402367549999797e-05,0.003997915595201324,399.8028,93.98567360424823
18,aline,search,AATree,Arranjos Ordenados (DESC),100,1.8195400000120543e-06,7.050917616427957e-07,16.4,3.9772077916777016
19,aline,search,AATree,Arranjos Ordenados (ASC),1000,1.7623619999893592e-06,1.2526964625972137e-06,27.128,5.521965964048322
20,aline,insert,AATree,Arranjos Quase Ordenados,1000,2.8029960000031107e-06,1.631179301116755e-05,228.604,65.29847682048238
21,aline,search,AATree,Arranjos Desordenados,10,3.1560999999680204e-06,6.5592385982622984e-06,8.0,3.4641016151377544
22,aline,insert,AATree,Arranjos Desordenados,1000,2.740214999998325e-06,3.0933946064091415e-06,148.778,37.54784356732829
23,aline,remove,AATree,Arranjos Desordenados,100,2.09050999997018e-06,5.0697240007294035e-06,36.35,13.00767061965727
24,aline,remove,AATree,Arranjos Ordenados (DESC),100,2.028569999987795e-06,1.1342726343772834e-06,39.88,17.10766855045781
25,aline,remove,AATree,Arranjos Ordenados (DESC),10000,2.9505943000001002e-05,0.002029757062250012,79.65,23.134628181626567
26,aline,search,AATree,Arranjos Ordenados (DESC),10,2.4011000000045966e-06,3.2153292366327265e-06,7.7,2.9832867780352594
27,aline,search,AATree,Arranjos Quase Ordenados,10000,3.065361900005659e-06,9.174930684178717e-05,36.4109,4.948445200362443
28,aline,remove,AATree,Arranjos Ordenados (ASC),1000,1.917242999969204e-06,1.5584197046890893e-06,49.742,20.158566511629836
29,aline,search,AATree,Arranjos Desordenados,1000,1.0790139999805603e-06,2.7944488413482626e-07,27.08,5.247393175199962
30,aline,search,AATree,Arranjos Quase Ordenados,100,1.4789999999287319e-06,6.189844240773183e-07,16.52,4.127953488110059
31,aline,search,AATree,Arranjos Ordenados (DESC),1000,1.7931789999883208e-06,7.286157326368932e-07,25.961,4.1620670107293805
